iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment
21,raw_rsa_sign,RSA-2048,48.6619170405902,742.0,52.0,256,2026-03-27T13:28:44.849313+00:00,arm64-darwin
22,raw_rsa_sign,RSA-2048,48.55574999237433,742.0,52.0,256,2026-03-27T13:28:44.849314+00:00,arm64-darwin
23,raw_rsa_sign,RSA-2048,48.027874960098416,742.0,52.0,256,2026-03-27T13:28:44.849315+00:00,arm64-darwin
24,raw_rsa_sign,RSA-2048,48.43637498561293,742.0,52.0,256,2026-03-27T13:28:44.849316+00:00,arm64-darwin
25,raw_rsa_sign,RSA-2048,47.86587500711903,742.0,52.0,256,2026-03-27T13:28:44.849320+00:00,arm64-darwin
26,raw_rsa_sign,RSA-2048,48.59970899997279,742.0,52.0,256,2026-03-27T13:28:44.849321+00:00,arm64-darwin
27,raw_rsa_sign,RSA-2048,47.121208044700325,742.0,52.0,256,2026-03-27T13:28:44.849322+00:00,arm64-darwin
28,raw_rsa_sign,RSA-2048,45.985792006831616,742.0,52.0,256,2026-03-27T13:28:44.849323+00:00,arm64-darwin
29,raw_rsa_sign,RSA-2048,45.895209012087435,742.0,52.0,256,2026-03-27T13:28:44.849324+00:00,arm64-darwin
30,raw_rsa_sign,RSA-2048,45.821167004760355,742.0,52.0,256,2026-03-27T13:28:44.849325+00:00,arm64-darwin
31,raw_rsa_sign,RSA-2048,45.83779105450958,742.0,52.0,256,2026-03-27T13:28:44.849326+00:00,arm64-darwin
32,raw_rsa_sign,RSA-2048,45.60591600602493,742.0,52.0,256,2026-03-27T13:28:44.849327+00:00,arm64-darwin
33,raw_rsa_sign,RSA-2048,45.76887498842552,742.0,52.0,256,2026-03-27T13:28:44.849328+00:00,arm64-darwin
34,raw_rsa_sign,RSA-2048,45.77462503220886,742.0,52.0,256,2026-03-27T13:28:44.849329+00:00,arm64-darwin
35,raw_rsa_sign,RSA-2048,45.61983305029571,742.0,52.0,256,2026-03-27T13:28:44.849330+00:00,arm64-darwin
36,raw_rsa_sign,RSA-2048,45.43841700069606,742.0,52.0,256,2026-03-27T13:28:44.849331+00:00,arm64-darwin
37,raw_rsa_sign,RSA-2048,45.30420800438151,742.0,52.0,256,2026-03-27T13:28:44.849332+00:00,arm64-darwin
38,raw_rsa_sign,RSA-2048,45.45849998248741,742.0,52.0,256,2026-03-27T13:28:44.849332+00:00,arm64-darwin
39,raw_rsa_sign,RSA-2048,48.37491700891405,742.0,52.0,256,2026-03-27T13:28:44.849333+00:00,arm64-darwin
40,raw_rsa_sign,RSA-2048,73.09454202186316,742.0,52.0,256,2026-03-27T13:28:44.849334+00:00,arm64-darwin
41,raw_rsa_sign,RSA-2048,112.33883397653699,742.0,52.0,256,2026-03-27T13:28:44.849335+00:00,arm64-darwin
42,raw_rsa_sign,RSA-2048,50.078416999895126,742.0,52.0,256,2026-03-27T13:28:44.849336+00:00,arm64-darwin
43,raw_rsa_sign,RSA-2048,89.85250000841916,742.0,52.0,256,2026-03-27T13:28:44.849337+00:00,arm64-darwin
44,raw_rsa_sign,RSA-2048,47.12225002003834,742.0,52.0,256,2026-03-27T13:28:44.849338+00:00,arm64-darwin
45,raw_rsa_sign,RSA-2048,47.67433297820389,742.0,52.0,256,2026-03-27T13:28:44.849339+00:00,arm64-darwin
46,raw_rsa_sign,RSA-2048,47.367332968860865,742.0,52.0,256,2026-03-27T13:28:44.849340+00:00,arm64-darwin
47,raw_rsa_sign,RSA-2048,46.89137497916818,742.0,52.0,256,2026-03-27T13:28:44.849341+00:00,arm64-darwin
48,raw_rsa_sign,RSA-2048,46.796875016298145,742.0,52.0,256,2026-03-27T13:28:44.849342+00:00,arm64-darwin
49,raw_rsa_sign,RSA-2048,46.43870802829042,742.0,52.0,256,2026-03-27T13:28:44.849344+00:00,arm64-darwin
50,raw_rsa_sign,RSA-2048,46.04724998353049,742.0,52.0,256,2026-03-27T13:28:44.849345+00:00,arm64-darwin
51,raw_rsa_sign,RSA-2048,46.03745799977332,742.0,52.0,256,2026-03-27T13:28:44.849346+00:00,arm64-darwin
52,raw_rsa_sign,RSA-2048,46.98195803212002,742.0,52.0,256,2026-03-27T13:28:44.849347+00:00,arm64-darwin
53,raw_rsa_sign,RSA-2048,46.27150000305846,742.0,52.0,256,2026-03-27T13:28:44.849348+00:00,arm64-darwin
54,raw_rsa_sign,RSA-2048,45.79375003231689,742.0,52.0,256,2026-03-27T13:28:44.849349+00:00,arm64-darwin
55,raw_rsa_sign,RSA-2048,46.65912501513958,742.0,52.0,256,2026-03-27T13:28:44.849350+00:00,arm64-darwin
